"Workout #";"Date";"Workout Name";"Duration (sec)";"Exercise Name";"Set Order";"Weight (kg)";"Reps";"RPE";"Distance (meters)";"Seconds";"Notes";"Workout Notes"
"1";"2024-08-31 00:03:19";"Push";"3891";"Bench Press (Barbell)";"W";"40.0";"12";"";"";"";"";"Chest, Shoulders, Triceps"
"1";"2024-08-31 00:03:19";"Push";"3891";"Bench Press (Barbell)";"1";"50.0";"12";"";"";"";"";"Chest, Shoulders, Triceps"
"1";"2024-08-31 00:03:19";"Push";"3891";"Bench Press (Barbell)";"2";"55.0";"12";"";"";"";"";"Chest, Shoulders, Triceps"
"1";"2024-08-31 00:03:19";"Push";"3891";"Bench Press (Barbell)";"3";"55.0";"12";"";"";"";"";"Chest, Shoulders, Triceps"
"1";"2024-08-31 00:03:19";"Push";"3891";"Bench Press (Barbell)";"4";"60.0";"7";"";"";"";"";"Chest, Shoulders, Triceps"
"1";"2024-08-31 00:03:19";"Push";"3891";"Incline Bench Press (Dumbbell)";"1";"20.0";"8";"";"";"";"";"Chest, Shoulders, Triceps"
"1";"2024-08-31 00:03:19";"Push";"3891";"Incline Bench Press (Dumbbell)";"2";"20.0";"7";"";"";"";"";"Chest, Shoulders, Triceps"
"1";"2024-08-31 00:03:19";"Push";"3891";"Incline Bench Press (Dumbbell)";"3";"18.0";"9";"";"";"";"";"Chest, Shoulders, Triceps"
"1";"2024-08-31 00:03:19";"Push";"3891";"Chest Press (Machine)";"1";"60.0";"12";"";"";"";"";"Chest, Shoulders, Triceps"
"1";"2024-08-31 00:03:19";"Push";"3891";"Chest Fly";"1";"85.0";"11";"";"";"";"";"Chest, Shoulders, Triceps"
"1";"2024-08-31 00:03:19";"Push";"3891";"Chest Fly";"2";"80.0";"12";"";"";"";"";"Chest, Shoulders, Triceps"
"1";"2024-08-31 00:03:19";"Push";"3891";"Chest Fly";"3";"80.0";"8";"";"";"";"";"Chest, Shoulders, Triceps"
"1";"2024-08-31 00:03:19";"Push";"3891";"Lateral Raise (Machine)";"1";"5.0";"12";"";"";"";"";"Chest, Shoulders, Triceps"
"1";"2024-08-31 00:03:19";"Push";"3891";"Lateral Raise (Machine)";"2";"7.5";"12";"";"";"";"";"Chest, Shoulders, Triceps"
"1";"2024-08-31 00:03:19";"Push";"3891";"Lateral Raise (Machine)";"3";"10.0";"7";"";"";"";"";"Chest, Shoulders, Triceps"
"1";"2024-08-31 00:03:19";"Push";"3891";"Triceps Pushdown (Cable - Straight Bar)";"1";"40.0";"12";"";"";"";"";"Chest, Shoulders, Triceps"
"1";"2024-08-31 00:03:19";"Push";"3891";"Triceps Pushdown (Cable - Straight Bar)";"2";"60.0";"12";"";"";"";"";"Chest, Shoulders, Triceps"
"1";"2024-08-31 00:03:19";"Push";"3891";"Triceps Pushdown (Cable - Straight Bar)";"3";"80.0";"5";"";"";"";"";"Chest, Shoulders, Triceps"
"1";"2024-08-31 00:03:19";"Push";"3891";"Triceps Pushdown (Cable - Straight Bar)";"4";"60.0";"7";"";"";"";"";"Chest, Shoulders, Triceps"
"2";"2024-08-31 17:27:50";"Pull";"3214";"Wide Pull Up";"1";"0.0";"7";"";"";"";"";"Back, Biceps, Core"
"2";"2024-08-31 17:27:50";"Pull";"3214";"Wide Pull Up";"2";"0.0";"6";"";"";"";"";"Back, Biceps, Core"
"2";"2024-08-31 17:27:50";"Pull";"3214";"Wide Pull Up";"3";"0.0";"3";"";"";"";"";"Back, Biceps, Core"
"2";"2024-08-31 17:27:50";"Pull";"3214";"Bent Over One Arm Row (Dumbbell)";"1";"20.0";"12";"";"";"";"";"Back, Biceps, Core"
"2";"2024-08-31 17:27:50";"Pull";"3214";"Bent Over One Arm Row (Dumbbell)";"2";"22.0";"12";"";"";"";"";"Back, Biceps, Core"
"2";"2024-08-31 17:27:50";"Pull";"3214";"Bent Over One Arm Row (Dumbbell)";"3";"24.0";"12";"";"";"";"";"Back, Biceps, Core"
"2";"2024-08-31 17:27:50";"Pull";"3214";"Lat Pulldown - Underhand (Cable)";"1";"34.0";"12";"";"";"";"";"Back, Biceps, Core"
"2";"2024-08-31 17:27:50";"Pull";"3214";"Lat Pulldown - Underhand (Cable)";"2";"51.0";"12";"";"";"";"";"Back, Biceps, Core"
"2";"2024-08-31 17:27:50";"Pull";"3214";"Lat Pulldown - Underhand (Cable)";"3";"57.0";"11";"";"";"";"";"Back, Biceps, Core"
"2";"2024-08-31 17:27:50";"Pull";"3214";"Seated Row (Cable)";"1";"72.0";"12";"";"";"";"";"Back, Biceps, Core"
"2";"2024-08-31 17:27:50";"Pull";"3214";"Seated Row (Cable)";"2";"86.0";"12";"";"";"";"";"Back, Biceps, Core"
"2";"2024-08-31 17:27:50";"Pull";"3214";"Seated Row (Cable)";"3";"86.0";"12";"";"";"";"";"Back, Biceps, Core"
"2";"2024-08-31 17:27:50";"Pull";"3214";"Bicep Curl (Barbell)";"1";"25.0";"12";"";"";"";"";"Back, Biceps, Core"
"2";"2024-08-31 17:27:50";"Pull";"3214";"Bicep Curl (Barbell)";"2";"25.0";"9";"";"";"";"";"Back, Biceps, Core"
"2";"2024-08-31 17:27:50";"Pull";"3214";"Bicep Curl (Barbell)";"3";"25.0";"8";"";"";"";"";"Back, Biceps, Core"
"3";"2024-09-02 01:37:39";"Legs";"186795";"Squat (Smith Machine)";"W";"50.0";"12";"";"";"";"";""
"3";"2024-09-02 01:37:39";"Legs";"186795";"Squat (Smith Machine)";"1";"60.0";"12";"";"";"";"";""
"3";"2024-09-02 01:37:39";"Legs";"186795";"Squat (Smith Machine)";"2";"70.0";"12";"";"";"";"";""
"3";"2024-09-02 01:37:39";"Legs";"186795";"Seated Leg Press (Machine)";"1";"70.0";"12";"";"";"";"";""
"3";"2024-09-02 01:37:39";"Legs";"186795";"Seated Leg Press (Machine)";"2";"70.0";"12";"";"";"";"";""
"3";"2024-09-02 01:37:39";"Legs";"186795";"Seated Leg Press (Machine)";"3";"80.0";"10";"";"";"";"";""
"3";"2024-09-02 01:37:39";"Legs";"186795";"Hip Thrust (Barbell)";"1";"10.0";"12";"";"";"";"";""
"3";"2024-09-02 01:37:39";"Legs";"186795";"Hip Thrust (Barbell)";"2";"30.0";"12";"";"";"";"";""
"3";"2024-09-02 01:37:39";"Legs";"186795";"Hip Thrust (Barbell)";"3";"40.0";"11";"";"";"";"";""
"3";"2024-09-02 01:37:39";"Legs";"186795";"Lying Leg Curl (Machine)";"1";"60.0";"12";"";"";"";"";""
"3";"2024-09-02 01:37:39";"Legs";"186795";"Lying Leg Curl (Machine)";"2";"70.0";"10";"";"";"";"";""
"3";"2024-09-02 01:37:39";"Legs";"186795";"Lying Leg Curl (Machine)";"3";"70.0";"10";"";"";"";"";""
"3";"2024-09-02 01:37:39";"Legs";"186795";"Leg Extension (Machine)";"1";"40.8233133";"12";"";"";"";"";""
"3";"2024-09-02 01:37:39";"Legs";"186795";"Leg Extension (Machine)";"2";"45.359237";"12";"";"";"";"";""
"3";"2024-09-02 01:37:39";"Legs";"186795";"Leg Extension (Machine)";"3";"47.62719885";"10";"";"";"";"";""
"4";"2024-09-04 05:31:50";"Push";"3785";"Bench Press (Barbell)";"W";"40.0";"12";"";"";"";"";"Chest, Shoulders, Triceps"
"4";"2024-09-04 05:31:50";"Push";"3785";"Bench Press (Barbell)";"1";"45.0";"12";"";"";"";"";"Chest, Shoulders, Triceps"
"4";"2024-09-04 05:31:50";"Push";"3785";"Bench Press (Barbell)";"2";"50.0";"12";"";"";"";"";"Chest, Shoulders, Triceps"
"4";"2024-09-04 05:31:50";"Push";"3785";"Bench Press (Barbell)";"3";"60.0";"11";"";"";"";"";"Chest, Shoulders, Triceps"
"4";"2024-09-04 05:31:50";"Push";"3785";"Bench Press (Barbell)";"4";"60.0";"8";"";"";"";"";"Chest, Shoulders, Triceps"
"4";"2024-09-04 05:31:50";"Push";"3785";"Incline Bench Press (Dumbbell)";"1";"18.0";"10";"";"";"";"";"Chest, Shoulders, Triceps"
"4";"2024-09-04 05:31:50";"Push";"3785";"Incline Bench Press (Dumbbell)";"2";"18.0";"10";"";"";"";"";"Chest, Shoulders, Triceps"
"4";"2024-09-04 05:31:50";"Push";"3785";"Incline Bench Press (Dumbbell)";"3";"18.0";"9";"";"";"";"";"Chest, Shoulders, Triceps"
"4";"2024-09-04 05:31:50";"Push";"3785";"Chest Fly";"1";"80.0";"12";"";"";"";"";"Chest, Shoulders, Triceps"
"4";"2024-09-04 05:31:50";"Push";"3785";"Chest Fly";"2";"85.0";"11";"";"";"";"";"Chest, Shoulders, Triceps"
"4";"2024-09-04 05:31:50";"Push";"3785";"Chest Fly";"3";"85.0";"11";"";"";"";"";"Chest, Shoulders, Triceps"
"4";"2024-09-04 05:31:50";"Push";"3785";"Chest Fly";"4";"85.0";"12";"";"";"";"";"Chest, Shoulders, Triceps"
"4";"2024-09-04 05:31:50";"Push";"3785";"Lateral Raise (Machine)";"1";"10.0";"12";"";"";"";"";"Chest, Shoulders, Triceps"
"4";"2024-09-04 05:31:50";"Push";"3785";"Lateral Raise (Machine)";"2";"10.0";"11";"";"";"";"";"Chest, Shoulders, Triceps"
"4";"2024-09-04 05:31:50";"Push";"3785";"Lateral Raise (Machine)";"3";"10.0";"9";"";"";"";"";"Chest, Shoulders, Triceps"
"4";"2024-09-04 05:31:50";"Push";"3785";"Triceps Pushdown (Cable - Straight Bar)";"1";"43.0";"12";"";"";"";"";"Chest, Shoulders, Triceps"
"4";"2024-09-04 05:31:50";"Push";"3785";"Triceps Pushdown (Cable - Straight Bar)";"2";"43.0";"7";"";"";"";"";"Chest, Shoulders, Triceps"
"5";"2024-09-05 19:44:32";"Pull";"4114";"Wide Pull Up";"1";"0.0";"8";"";"";"";"";"Back, Biceps, Core"
"5";"2024-09-05 19:44:32";"Pull";"4114";"Wide Pull Up";"2";"0.0";"8";"";"";"";"";"Back, Biceps, Core"
"5";"2024-09-05 19:44:32";"Pull";"4114";"Wide Pull Up";"3";"0.0";"8";"";"";"";"";"Back, Biceps, Core"
"5";"2024-09-05 19:44:32";"Pull";"4114";"Lat Pulldown - Underhand (Cable)";"1";"50.0";"12";"";"";"";"";"Back, Biceps, Core"
"5";"2024-09-05 19:44:32";"Pull";"4114";"Lat Pulldown - Underhand (Cable)";"2";"70.0";"12";"";"";"";"";"Back, Biceps, Core"
"5";"2024-09-05 19:44:32";"Pull";"4114";"Lat Pulldown - Underhand (Cable)";"3";"90.0";"12";"";"";"";"";"Back, Biceps, Core"
"5";"2024-09-05 19:44:32";"Pull";"4114";"Seated Row (Cable)";"1";"60.0";"12";"";"";"";"";"Back, Biceps, Core"
"5";"2024-09-05 19:44:32";"Pull";"4114";"Seated Row (Cable)";"2";"78.0";"12";"";"";"";"";"Back, Biceps, Core"
"5";"2024-09-05 19:44:32";"Pull";"4114";"Seated Row (Cable)";"3";"90.0";"6";"";"";"";"";"Back, Biceps, Core"
"5";"2024-09-05 19:44:32";"Pull";"4114";"Bicep Curl (Barbell)";"1";"25.0";"12";"";"";"";"";"Back, Biceps, Core"
"5";"2024-09-05 19:44:32";"Pull";"4114";"Bicep Curl (Barbell)";"2";"25.0";"12";"";"";"";"";"Back, Biceps, Core"
"5";"2024-09-05 19:44:32";"Pull";"4114";"Bicep Curl (Barbell)";"3";"30.0";"8";"";"";"";"";"Back, Biceps, Core"
"5";"2024-09-05 19:44:32";"Pull";"4114";"Lat Pulldown (Machine)";"1";"60.0";"12";"";"";"";"";"Back, Biceps, Core"
"5";"2024-09-05 19:44:32";"Pull";"4114";"Lat Pulldown (Machine)";"2";"100.0";"10";"";"";"";"";"Back, Biceps, Core"
"5";"2024-09-05 19:44:32";"Pull";"4114";"Lat Pulldown (Machine)";"3";"100.0";"8";"";"";"";"";"Back, Biceps, Core"
"5";"2024-09-05 19:44:32";"Pull";"4114";"Lat Pulldown (Machine)";"4";"100.0";"8";"";"";"";"";"Back, Biceps, Core"
"6";"2024-09-08 19:13:26";"Legs";"17909";"Squat (Smith Machine)";"W";"20.0";"10";"";"";"";"";""
"6";"2024-09-08 19:13:26";"Legs";"17909";"Squat (Smith Machine)";"1";"50.0";"12";"";"";"";"";""
"6";"2024-09-08 19:13:26";"Legs";"17909";"Squat (Smith Machine)";"2";"60.0";"12";"";"";"";"";""
"6";"2024-09-08 19:13:26";"Legs";"17909";"Squat (Smith Machine)";"3";"70.0";"12";"";"";"";"";""
"6";"2024-09-08 19:13:26";"Legs";"17909";"Squat (Smith Machine)";"4";"80.0";"6";"";"";"";"";""
"6";"2024-09-08 19:13:26";"Legs";"17909";"Seated Leg Press (Machine)";"1";"70.0";"12";"";"";"";"";""
"6";"2024-09-08 19:13:26";"Legs";"17909";"Seated Leg Press (Machine)";"2";"80.0";"12";"";"";"";"";""
"6";"2024-09-08 19:13:26";"Legs";"17909";"Seated Leg Press (Machine)";"3";"90.0";"8";"";"";"";"";""
"6";"2024-09-08 19:13:26";"Legs";"17909";"Hip Thrust (Barbell)";"1";"30.0";"12";"";"";"";"";""
"6";"2024-09-08 19:13:26";"Legs";"17909";"Hip Thrust (Barbell)";"2";"40.0";"12";"";"";"";"";""
"6";"2024-09-08 19:13:26";"Legs";"17909";"Hip Thrust (Barbell)";"3";"50.0";"10";"";"";"";"";""
"6";"2024-09-08 19:13:26";"Legs";"17909";"Leg Extension (Machine)";"1";"45.359237";"10";"";"";"";"";""
"6";"2024-09-08 19:13:26";"Legs";"17909";"Leg Extension (Machine)";"2";"45.359237";"10";"";"";"";"";""
"7";"2024-09-10 05:47:12";"Push";"3832";"Bench Press (Barbell)";"W";"40.0";"12";"";"";"";"";"Chest, Shoulders, Triceps"
"7";"2024-09-10 05:47:12";"Push";"3832";"Bench Press (Barbell)";"1";"50.0";"12";"";"";"";"";"Chest, Shoulders, Triceps"
"7";"2024-09-10 05:47:12";"Push";"3832";"Bench Press (Barbell)";"2";"60.0";"12";"";"";"";"";"Chest, Shoulders, Triceps"
"7";"2024-09-10 05:47:12";"Push";"3832";"Bench Press (Barbell)";"3";"65.0";"7";"";"";"";"";"Chest, Shoulders, Triceps"
"7";"2024-09-10 05:47:12";"Push";"3832";"Bench Press (Barbell)";"4";"60.0";"8";"";"";"";"";"Chest, Shoulders, Triceps"
"7";"2024-09-10 05:47:12";"Push";"3832";"Incline Bench Press (Dumbbell)";"1";"18.0";"11";"";"";"";"";"Chest, Shoulders, Triceps"
"7";"2024-09-10 05:47:12";"Push";"3832";"Incline Bench Press (Dumbbell)";"2";"18.0";"9";"";"";"";"";"Chest, Shoulders, Triceps"
"7";"2024-09-10 05:47:12";"Push";"3832";"Incline Bench Press (Dumbbell)";"3";"18.0";"10";"";"";"";"";"Chest, Shoulders, Triceps"
"7";"2024-09-10 05:47:12";"Push";"3832";"Chest Fly";"1";"54.4310844";"10";"";"";"";"";"Chest, Shoulders, Triceps"
"7";"2024-09-10 05:47:12";"Push";"3832";"Chest Fly";"2";"54.4310844";"10";"";"";"";"";"Chest, Shoulders, Triceps"
"7";"2024-09-10 05:47:12";"Push";"3832";"Chest Fly";"3";"54.4310844";"11";"";"";"";"";"Chest, Shoulders, Triceps"
"7";"2024-09-10 05:47:12";"Push";"3832";"Lateral Raise (Machine)";"1";"10.0";"12";"";"";"";"";"Chest, Shoulders, Triceps"
"7";"2024-09-10 05:47:12";"Push";"3832";"Lateral Raise (Machine)";"2";"10.0";"11";"";"";"";"";"Chest, Shoulders, Triceps"
"7";"2024-09-10 05:47:12";"Push";"3832";"Lateral Raise (Machine)";"3";"10.0";"9";"";"";"";"";"Chest, Shoulders, Triceps"
"7";"2024-09-10 05:47:12";"Push";"3832";"Triceps Pushdown (Cable - Straight Bar)";"1";"60.0";"12";"";"";"";"";"Chest, Shoulders, Triceps"
"7";"2024-09-10 05:47:12";"Push";"3832";"Triceps Pushdown (Cable - Straight Bar)";"2";"80.0";"6";"";"";"";"";"Chest, Shoulders, Triceps"
"7";"2024-09-10 05:47:12";"Push";"3832";"Triceps Pushdown (Cable - Straight Bar)";"3";"60.0";"6";"";"";"";"";"Chest, Shoulders, Triceps"
"8";"2024-09-11 04:34:32";"Pull";"2121";"Wide Pull Up";"1";"0.0";"9";"";"";"";"";"Back, Biceps, Core"
"8";"2024-09-11 04:34:32";"Pull";"2121";"Wide Pull Up";"2";"0.0";"9";"";"";"";"";"Back, Biceps, Core"
"8";"2024-09-11 04:34:32";"Pull";"2121";"Wide Pull Up";"3";"0.0";"6";"";"";"";"";"Back, Biceps, Core"
"8";"2024-09-11 04:34:32";"Pull";"2121";"Bent Over One Arm Row (Dumbbell)";"1";"40.0";"12";"";"";"";"";"Back, Biceps, Core"
"8";"2024-09-11 04:34:32";"Pull";"2121";"Bent Over One Arm Row (Dumbbell)";"2";"50.0";"8";"";"";"";"";"Back, Biceps, Core"
"8";"2024-09-11 04:34:32";"Pull";"2121";"Bent Over One Arm Row (Dumbbell)";"3";"50.0";"8";"";"";"";"";"Back, Biceps, Core"
"8";"2024-09-11 04:34:32";"Pull";"2121";"Lat Pulldown - Underhand (Cable)";"1";"80.0";"12";"";"";"";"";"Back, Biceps, Core"
"8";"2024-09-11 04:34:32";"Pull";"2121";"Lat Pulldown - Underhand (Cable)";"2";"100.0";"12";"";"";"";"";"Back, Biceps, Core"
"8";"2024-09-11 04:34:32";"Pull";"2121";"Lat Pulldown - Underhand (Cable)";"3";"100.0";"8";"";"";"";"";"Back, Biceps, Core"
"9";"2024-09-18 02:40:17";"Push";"3151";"Bench Press (Barbell)";"W";"40.0";"12";"";"";"";"";"Chest, Shoulders, Triceps"
"9";"2024-09-18 02:40:17";"Push";"3151";"Incline Bench Press (Dumbbell)";"1";"16.0";"12";"";"";"";"";"Chest, Shoulders, Triceps"
"9";"2024-09-18 02:40:17";"Push";"3151";"Incline Bench Press (Dumbbell)";"2";"18.0";"12";"";"";"";"";"Chest, Shoulders, Triceps"
"9";"2024-09-18 02:40:17";"Push";"3151";"Incline Bench Press (Dumbbell)";"3";"20.0";"12";"";"";"";"";"Chest, Shoulders, Triceps"
"9";"2024-09-18 02:40:17";"Push";"3151";"Incline Bench Press (Dumbbell)";"4";"22.0";"8";"";"";"";"";"Chest, Shoulders, Triceps"
"9";"2024-09-18 02:40:17";"Push";"3151";"Lateral Raise (Cable)";"1";"9.1";"12";"";"";"";"";"Chest, Shoulders, Triceps"
"9";"2024-09-18 02:40:17";"Push";"3151";"Lateral Raise (Cable)";"2";"9.1";"12";"";"";"";"";"Chest, Shoulders, Triceps"
"9";"2024-09-18 02:40:17";"Push";"3151";"Lateral Raise (Cable)";"3";"13.6";"8";"";"";"";"";"Chest, Shoulders, Triceps"
"9";"2024-09-18 02:40:17";"Push";"3151";"Triceps Pushdown (Cable - Straight Bar)";"1";"70.0";"12";"";"";"";"";"Chest, Shoulders, Triceps"
"9";"2024-09-18 02:40:17";"Push";"3151";"Chest Press (Machine)";"1";"60.0";"12";"";"";"";"";"Chest, Shoulders, Triceps"
"9";"2024-09-18 02:40:17";"Push";"3151";"Chest Press (Machine)";"2";"70.0";"11";"";"";"";"";"Chest, Shoulders, Triceps"
"9";"2024-09-18 02:40:17";"Push";"3151";"Chest Press (Machine)";"3";"70.0";"10";"";"";"";"";"Chest, Shoulders, Triceps"
"9";"2024-09-18 02:40:17";"Push";"3151";"Chest Press (Machine)";"4";"70.0";"10";"";"";"";"";"Chest, Shoulders, Triceps"
"10";"2024-09-19 05:03:47";"Pull";"2848";"Wide Pull Up";"1";"0.0";"7";"";"";"";"";"Back, Biceps, Core"
"10";"2024-09-19 05:03:47";"Pull";"2848";"Wide Pull Up";"2";"0.0";"4";"";"";"";"";"Back, Biceps, Core"
"10";"2024-09-19 05:03:47";"Pull";"2848";"Wide Pull Up";"3";"0.0";"5";"";"";"";"";"Back, Biceps, Core"
"10";"2024-09-19 05:03:47";"Pull";"2848";"Bent Over One Arm Row (Dumbbell)";"1";"22.0";"12";"";"";"";"";"Back, Biceps, Core"
"10";"2024-09-19 05:03:47";"Pull";"2848";"Bent Over One Arm Row (Dumbbell)";"2";"26.0";"10";"";"";"";"";"Back, Biceps, Core"
"10";"2024-09-19 05:03:47";"Pull";"2848";"Bent Over One Arm Row (Dumbbell)";"3";"26.0";"10";"";"";"";"";"Back, Biceps, Core"
"10";"2024-09-19 05:03:47";"Pull";"2848";"Lat Pulldown - Underhand (Cable)";"1";"100.0";"12";"";"";"";"";"Back, Biceps, Core"
"10";"2024-09-19 05:03:47";"Pull";"2848";"Lat Pulldown - Underhand (Cable)";"2";"110.0";"10";"";"";"";"";"Back, Biceps, Core"
"10";"2024-09-19 05:03:47";"Pull";"2848";"Lat Pulldown - Underhand (Cable)";"3";"110.0";"10";"";"";"";"";"Back, Biceps, Core"
"10";"2024-09-19 05:03:47";"Pull";"2848";"Seated Row (Cable)";"1";"72.0";"8";"";"";"";"";"Back, Biceps, Core"
"10";"2024-09-19 05:03:47";"Pull";"2848";"Seated Row (Cable)";"2";"65.8";"12";"";"";"";"";"Back, Biceps, Core"
"10";"2024-09-19 05:03:47";"Pull";"2848";"Seated Row (Cable)";"3";"79.4";"10";"";"";"";"";"Back, Biceps, Core"
"10";"2024-09-19 05:03:47";"Pull";"2848";"Bicep Curl (Barbell)";"1";"30.0";"10";"";"";"";"";"Back, Biceps, Core"
"10";"2024-09-19 05:03:47";"Pull";"2848";"Bicep Curl (Barbell)";"2";"30.0";"6";"";"";"";"";"Back, Biceps, Core"
"10";"2024-09-19 05:03:47";"Pull";"2848";"Bicep Curl (Barbell)";"3";"20.0";"6";"";"";"";"";"Back, Biceps, Core"
"11";"2024-09-19 21:23:15";"Legs";"163634";"Squat (Smith Machine)";"W";"20.0";"10";"";"";"";"";""
"11";"2024-09-19 21:23:15";"Legs";"163634";"Squat (Smith Machine)";"1";"60.0";"12";"";"";"";"";""
"11";"2024-09-19 21:23:15";"Legs";"163634";"Squat (Smith Machine)";"2";"70.0";"12";"";"";"";"";""
"11";"2024-09-19 21:23:15";"Legs";"163634";"Squat (Smith Machine)";"3";"80.0";"8";"";"";"";"";""
"11";"2024-09-19 21:23:15";"Legs";"163634";"Seated Leg Press (Machine)";"1";"80.0";"12";"";"";"";"";""
"11";"2024-09-19 21:23:15";"Legs";"163634";"Seated Leg Press (Machine)";"2";"90.0";"10";"";"";"";"";""
"11";"2024-09-19 21:23:15";"Legs";"163634";"Seated Leg Press (Machine)";"3";"90.0";"8";"";"";"";"";""
"11";"2024-09-19 21:23:15";"Legs";"163634";"Hip Thrust (Barbell)";"1";"40.0";"12";"";"";"";"";""
"11";"2024-09-19 21:23:15";"Legs";"163634";"Hip Thrust (Barbell)";"2";"50.0";"10";"";"";"";"";""
"11";"2024-09-19 21:23:15";"Legs";"163634";"Hip Thrust (Barbell)";"3";"50.0";"8";"";"";"";"";""
"11";"2024-09-19 21:23:15";"Legs";"163634";"Leg Extension (Machine)";"1";"45.359237";"10";"";"";"";"";""
"11";"2024-09-19 21:23:15";"Legs";"163634";"Leg Extension (Machine)";"2";"40.8233133";"10";"";"";"";"";""
"11";"2024-09-19 21:23:15";"Legs";"163634";"Leg Extension (Machine)";"3";"40.8233133";"9";"";"";"";"";""
"12";"2024-09-21 19:04:21";"Push";"5081";"Bench Press (Barbell)";"W";"40.0";"12";"";"";"";"";"Chest, Shoulders, Triceps"
"12";"2024-09-21 19:04:21";"Push";"5081";"Bench Press (Barbell)";"1";"50.0";"12";"";"";"";"";"Chest, Shoulders, Triceps"
"12";"2024-09-21 19:04:21";"Push";"5081";"Bench Press (Barbell)";"2";"60.0";"10";"";"";"";"";"Chest, Shoulders, Triceps"
"12";"2024-09-21 19:04:21";"Push";"5081";"Bench Press (Barbell)";"3";"60.0";"8";"";"";"";"";"Chest, Shoulders, Triceps"
"12";"2024-09-21 19:04:21";"Push";"5081";"Bench Press (Barbell)";"4";"55.0";"10";"";"";"";"";"Chest, Shoulders, Triceps"
"12";"2024-09-21 19:04:21";"Push";"5081";"Incline Bench Press (Dumbbell)";"1";"18.0";"12";"";"";"";"";"Chest, Shoulders, Triceps"
"12";"2024-09-21 19:04:21";"Push";"5081";"Incline Bench Press (Dumbbell)";"2";"20.0";"9";"";"";"";"";"Chest, Shoulders, Triceps"
"12";"2024-09-21 19:04:21";"Push";"5081";"Incline Bench Press (Dumbbell)";"3";"20.0";"8";"";"";"";"";"Chest, Shoulders, Triceps"
"12";"2024-09-21 19:04:21";"Push";"5081";"Chest Fly";"1";"54.4310844";"11";"";"";"";"";"Chest, Shoulders, Triceps"
"12";"2024-09-21 19:04:21";"Push";"5081";"Chest Fly";"2";"54.4310844";"9";"";"";"";"";"Chest, Shoulders, Triceps"
"12";"2024-09-21 19:04:21";"Push";"5081";"Chest Fly";"3";"54.4310844";"8";"";"";"";"";"Chest, Shoulders, Triceps"
"12";"2024-09-21 19:04:21";"Push";"5081";"Lateral Raise (Cable)";"1";"13.6";"12";"";"";"";"";"Chest, Shoulders, Triceps"
"12";"2024-09-21 19:04:21";"Push";"5081";"Lateral Raise (Cable)";"2";"16.1";"10";"";"";"";"";"Chest, Shoulders, Triceps"
"12";"2024-09-21 19:04:21";"Push";"5081";"Lateral Raise (Cable)";"3";"13.6";"10";"";"";"";"";"Chest, Shoulders, Triceps"
"12";"2024-09-21 19:04:21";"Push";"5081";"Triceps Extension (Cable)";"1";"22.7";"12";"";"";"";"";"Chest, Shoulders, Triceps"
"12";"2024-09-21 19:04:21";"Push";"5081";"Triceps Extension (Cable)";"2";"29.5";"7";"";"";"";"";"Chest, Shoulders, Triceps"
"12";"2024-09-21 19:04:21";"Push";"5081";"Triceps Extension (Cable)";"3";"29.5";"8";"";"";"";"";"Chest, Shoulders, Triceps"
"13";"2024-09-23 04:13:18";"Pull";"3561";"Lat Pulldown (Machine)";"1";"60.0";"12";"";"";"";"";"Back, Biceps, Core"
"13";"2024-09-23 04:13:18";"Pull";"3561";"Lat Pulldown (Machine)";"2";"80.0";"10";"";"";"";"";"Back, Biceps, Core"
"13";"2024-09-23 04:13:18";"Pull";"3561";"Lat Pulldown (Machine)";"3";"80.0";"9";"";"";"";"";"Back, Biceps, Core"
"13";"2024-09-23 04:13:18";"Pull";"3561";"Bent Over One Arm Row (Dumbbell)";"1";"24.0";"12";"";"";"";"";"Back, Biceps, Core"
"13";"2024-09-23 04:13:18";"Pull";"3561";"Bent Over One Arm Row (Dumbbell)";"2";"26.0";"10";"";"";"";"";"Back, Biceps, Core"
"13";"2024-09-23 04:13:18";"Pull";"3561";"Bent Over One Arm Row (Dumbbell)";"3";"26.0";"11";"";"";"";"";"Back, Biceps, Core"
"13";"2024-09-23 04:13:18";"Pull";"3561";"Lat Pulldown - Underhand (Cable)";"1";"45.4";"12";"";"";"";"";"Back, Biceps, Core"
"13";"2024-09-23 04:13:18";"Pull";"3561";"Lat Pulldown - Underhand (Cable)";"2";"59.0";"12";"";"";"";"";"Back, Biceps, Core"
"13";"2024-09-23 04:13:18";"Pull";"3561";"Lat Pulldown - Underhand (Cable)";"3";"65.8";"8";"";"";"";"";"Back, Biceps, Core"
"13";"2024-09-23 04:13:18";"Pull";"3561";"Seated Row (Cable)";"1";"65.8";"12";"";"";"";"";"Back, Biceps, Core"
"13";"2024-09-23 04:13:18";"Pull";"3561";"Seated Row (Cable)";"2";"79.4";"12";"";"";"";"";"Back, Biceps, Core"
"13";"2024-09-23 04:13:18";"Pull";"3561";"Seated Row (Cable)";"3";"86.2";"12";"";"";"";"";"Back, Biceps, Core"
"13";"2024-09-23 04:13:18";"Pull";"3561";"Bicep Curl (Barbell)";"1";"30.0";"12";"";"";"";"";"Back, Biceps, Core"
"13";"2024-09-23 04:13:18";"Pull";"3561";"Bicep Curl (Barbell)";"2";"30.0";"10";"";"";"";"";"Back, Biceps, Core"
